Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T01:49:51.569610,91.58213062786234,22.611,44923095.77752432,2780596.5234218566
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T01:50:37.394716,91.58213062786234,21.984,44905815.38388735,2764433.9719180875
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T01:53:08.744329,91.58213062786234,21.989,44920686.12271426,2770239.325880533
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T02:36:10.238325,91.58213062786234,22.403,44853179.79492604,2802748.6984412507
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T03:00:10.291048,88.528862236359,23.464,43367967.93945593,2900948.517312178
6517,Highspeed-Check.de,Berlin,2017-11-07T04:00:09.094114,1.1300132963633045,26.396,45058955.16262434,2905362.80164484
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T05:00:01.611857,88.528862236359,21.733,45025921.19764488,3124271.7997699874
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T06:00:10.043453,88.528862236359,21.515,44936747.86534518,2798615.449090779
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T07:00:10.339706,88.528862236359,22.434,44932921.90675904,2847533.587773794
Cannot retrieve speedtest configuration
6517,Highspeed-Check.de,Berlin,2017-11-07T09:00:02.056418,1.1300132963633045,24.265,44362244.497837804,2783805.444712012
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T10:00:03.933877,88.528862236359,23.144,44630643.62281271,3149846.9203829654
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T11:00:10.437670,88.528862236359,22.171,44257185.6727092,2833112.8544526435
Cannot retrieve speedtest configuration
6517,Highspeed-Check.de,Berlin,2017-11-07T13:00:10.295594,1.1300132963633045,31.173,41916621.65296236,2706073.7573931
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T14:00:06.261462,88.528862236359,20.714,44743725.30110666,3485362.2533866805
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T15:00:10.431400,88.528862236359,22.219,44912745.193462655,2812829.8275083457
6517,Highspeed-Check.de,Berlin,2017-11-07T16:00:02.025677,1.1300132963633045,35.082,42383354.38916166,2891017.5160576594
6517,Highspeed-Check.de,Berlin,2017-11-07T17:00:10.200260,1.1300132963633045,28.992,37147192.250086136,2817117.348634703
2002,Wittenberg-net GmbH,Wittenberg,2017-11-07T18:00:07.103838,88.528862236359,23.203,44885655.82241421,2824404.121037279
1475,IPB,Berlin,2017-11-07T19:00:11.570830,1.1300280376549896,33.274,35240722.41431858,2878162.3544865763
6417,SysEleven GmbH,Berlin,2017-11-07T20:00:06.945139,1.1300132963633045,38.295,27762407.51865417,2920700.2227091636
6517,Highspeed-Check.de,Berlin,2017-11-07T21:00:02.220705,1.1300132963633045,35.898,27861286.006480724,2860431.219059865
Cannot retrieve speedtest configuration
6517,Highspeed-Check.de,Berlin,2017-11-07T23:00:09.967438,1.1300132963633045,25.758,44846881.148285575,2792559.7552035255
2002,Wittenberg-net GmbH,Wittenberg,2017-11-08T00:00:11.497897,88.528862236359,21.246,44520512.028172955,2916026.205706574
2002,Wittenberg-net GmbH,Wittenberg,2017-11-08T01:00:01.753690,88.528862236359,21.778,45056211.256714776,2884413.0155938584
Cannot retrieve speedtest configuration
Cannot retrieve speedtest configuration
2002,Wittenberg-net GmbH,Wittenberg,2017-11-08T04:00:09.935997,88.528862236359,21.529,44866282.91444066,3250156.9292529165
Cannot retrieve speedtest configuration
2002,Wittenberg-net GmbH,Wittenberg,2017-11-08T06:00:02.309258,88.528862236359,23.621,44595932.96531775,2787886.560931631
2002,Wittenberg-net GmbH,Wittenberg,2017-11-08T07:00:02.304804,88.528862236359,22.662,44736884.60554748,3112546.173111072
2002,Wittenberg-net GmbH,Wittenberg,2017-11-08T08:00:02.846831,88.528862236359,22.855,44323073.83278088,2831096.272849901
6517,Highspeed-Check.de,Berlin,2017-11-08T09:00:11.635484,1.1300132963633045,32.526,44576861.89935943,2788050.9130188474
